mdate;Rf;MktRf;SMB;HML
195807;0,00252;0,03457;0,03221;-0,02137
195808;0,00236;0,08535;-0,01284;-0,02355
195809;0,00247;0,09147;-0,02363;-0,01922
195810;0,00226;0,05334;0,0208;-0,01705
195811;0,00236;0,00327;0,01878;0,04144
195812;0,00282;0,03495;-0,02677;-0,02643
195901;0,00206;0,04147;0,01672;-0,03179
195902;0,00211;-0,00808;0,05106;-0,02619
195903;0,00231;0,04164;-0,03167;0,01657
195904;0,00206;0,05214;-0,04861;0,00598
195905;0,00221;0,11763;-0,04691;-0,08492
195906;0,00216;0,11606;0,06573;-0,03301
195907;0,00196;0,11943;-0,01113;0,07381
195908;0,00206;0,10279;-0,01157;0,00592
195909;0,00231;-0,07573;0,01833;-0,00081
195910;0,00247;-0,03227;-0,02236;-0,00412
195911;0,00317;0,04266;-0,01169;0,0071
195912;0,00395;0,06786;-0,00424;-0,00794
196001;0,00335;0,01465;0,03306;-0,0322
196002;0,00343;-0,01935;0,05075;-0,03257
196003;0,0037;-0,00112;0,00703;-0,04602
196004;0,0036;0,03435;0,00602;-0,02807
196005;0,00351;0,12007;-0,0193;-0,07679
196006;0,00427;0,14427;-0,01496;-0,05224
196007;0,00436;-0,00175;0,02185;-0,05392
196008;0,0043;0,15125;-0,01805;-0,11419
196009;0,00447;-0,08166;0,04466;0,09194
196010;0,00442;-0,03617;0,01952;0,01162
196011;0,00392;-0,02625;-0,00497;-0,01806
196012;0,00445;-0,00724;-0,0048;-0,00279
196101;0,00356;-0,02104;0,01674;0,02519
196102;0,0032;0,00138;-0,01665;0,01564
196103;0,00294;-0,01327;-0,01187;-0,02335
196104;0,00262;0,01673;0,00363;-0,00855
196105;0,00255;0,05588;0,00061;-0,02409
196106;0,00245;-0,03235;0,02273;0,01259
196107;0,00247;-0,06634;0,00735;0,01883
196108;0,00242;-0,0901;0,02055;0,01959
196109;0,00243;-0,00162;-0,0289;-0,0088
196110;0,0023;0,05277;-0,00187;-0,04428
196111;0,00227;0,0301;0,0137;-0,01167
196112;0,00338;-0,03441;-0,0042;0,00958
196201;0,00221;-0,02749;0,0129;0,01593
196202;0,00217;-0,00967;0,01074;-0,02262
196203;0,00235;-0,01581;0,00267;-0,00474
196204;0,00235;-0,03376;0,01515;0,01252
196205;0,00235;-0,13989;0,00708;0,05094
196206;0,00249;-0,07645;0,01247;0,04667
196207;0,00248;-0,04161;0,00558;-0,00166
196208;0,00242;0,04724;-0,07137;-0,00389
196209;0,00254;-0,06816;0,03022;-0,00421
196210;0,00241;-0,02317;-0,02777;0,0129
196211;0,00234;0,1804;-0,01207;-0,13462
196212;0,00387;-0,03325;0,00249;-0,02854
196301;0,00243;-0,0425;0,03523;-0,01086
196302;0,00251;-0,05388;0,03108;-0,02589
196303;0,00274;0,03792;-0,02566;-0,03774
196304;0,00271;0,02826;-0,00563;0,03778
196305;0,00278;0,13655;-0,05845;-0,05148
196306;0,00303;-0,02789;0,01701;0,01809
196307;0,00285;0,02253;0,0186;0,01142
196308;0,00278;0,04378;-0,01297;-0,00476
196309;0,00283;-0,00111;0,02867;0,02801
196310;0,00268;-0,02889;0,00371;-0,01319
196311;0,00249;-0,02642;-0,00494;0,00718
196312;0,00438;0,02533;-0,01109;-0,00522
196401;0,00249;0,05547;-0,03312;0,06644
196402;0,00253;0,018;-0,01559;0,07368
196403;0,00267;0,03765;-0,02882;0,04046
196404;0,00271;-0,03025;0,0342;0,01963
196405;0,00274;-0,02971;0,02218;-0,0291
196406;0,00296;0,00016;-0,02229;0,02177
196407;0,0028;0,0234;-0,04314;0,03713
196408;0,00302;0,0233;0,03471;0,03603
196409;0,00318;-0,01739;0,01964;-0,00161
196410;0,00323;-0,03848;0,02098;-0,0204
196411;0,0029;-0,01646;0,00339;-0,00783
196412;0,00457;0,00983;0,00008;-0,03025
196501;0,00277;0,00582;-0,01267;0,01188
196502;0,00287;-0,03312;0,01102;0,01241
196503;0,00335;-0,03914;0,02065;-0,00134
196504;0,00346;0,00275;-0,01214;0,01185
196505;0,00358;0,00536;-0,01799;0,00551
196506;0,00378;-0,05936;0,02036;0,00313
196507;0,00383;0,03564;-0,01424;-0,00723
196508;0,0038;0,00708;0,01215;-0,00543
196509;0,0042;-0,00403;0,00862;0,01144
196510;0,00426;-0,04857;0,02125;0,02043
196511;0,00395;-0,03553;0,01743;-0,03366
196512;0,00546;-0,00958;0,00437;0,01657
