ISIN;fyear;BEME
DE0001262012;2000;0,4049
DE0001262012;2001;0,5348
DE0001262012;2002;4
DE0001262012;2003;4
DE0001262152;1998;0,0942
DE0001262152;1999;0,2625
DE0001262152;2000;0,2618
DE0001262152;2001;0,6452
DE0001262152;2002;0,4237
DE0001262152;2003;0,0371
DE0001262186;1999;0,3185
DE0001262186;2000;0,7812
DE0001262186;2001;2,0833
DE0001262186;2002;2,1739
DE0001262186;2003;-0,8929
DE0003304002;1999;0,0879
DE0003304002;2000;0,0937
DE0003304002;2001;0,1698
DE0003304002;2002;0,8696
DE0003304002;2003;0,5102
DE0003304101;1996;0,4717
DE0003304101;1997;0,4386
DE0003304101;1998;0,5376
DE0003304101;1999;1,1236
DE0003304101;2000;0,5263
DE0003304101;2001;0,5587
DE0003304101;2002;0,8772
DE0003304101;2003;0,6711
DE0003304200;1999;0,3676
DE0003304200;2000;0,4348
DE0003304200;2001;0,4673
DE0003304200;2002;0,0676
DE0003304200;2003;0,2703
DE0005008007;1993;0,1761
DE0005008007;1994;0,2083
DE0005008007;1995;0,3175
DE0005008007;1996;0,463
DE0005008007;1997;0,4184
DE0005008007;1998;0,4202
DE0005008007;1999;0,2141
DE0005008007;2000;0,5291
DE0005008007;2001;0,6135
DE0005008007;2002;0,7634
DE0005008007;2003;0,3367
DE0005009005;1992;1,3158
DE0005009005;1993;1,0101
DE0005009005;1994;0,8547
DE0005009005;1995;1,25
DE0005009005;1996;1,0204
DE0005009005;1997;0,3185
DE0005009005;1998;0,7874
DE0005009005;1999;1,0638
DE0005009005;2000;0,5236
DE0005009005;2001;0,4926
DE0005009005;2002;0,5464
DE0005009708;1989;0,4333
DE0005009708;1990;0,4009
DE0005009708;1991;0,4878
DE0005009708;1992;0,6184
DE0005009708;1993;0,3891
DE0005009708;1994;0,3968
DE0005009708;1995;0,4926
DE0005009708;1996;0,3831
DE0005009708;1997;0,3472
DE0005009708;1998;0,4049
DE0005009708;1999;0,5405
DE0005009708;2000;0,5236
DE0005009708;2001;0,578
DE0005009708;2002;0,4167
DE0005009708;2003;0,4878
DE0005009906;1989;0,5556
DE0005009906;1990;0,4926
DE0005009906;1991;0,6536
DE0005009906;1992;0,7634
DE0005009906;1993;0,7634
DE0005009906;1994;1,0309
DE0005009906;1995;1,1364
DE0005010896;2000;0,6369
DE0005011001;1989;0,3472
DE0005011001;1990;0,274
DE0005011001;1991;0,369
DE0005011001;1992;0,4237
DE0005011001;1993;0,3289
DE0005011001;1994;0,4
DE0005011001;1995;0,3663
DE0005011001;1996;0,289
DE0005011001;1997;0,3676
DE0005011001;1998;0,4255
DE0005011001;1999;0,641
DE0005011001;2000;0,5319
DE0005011001;2001;0,5618
DE0005011001;2002;0,5076
DE0005011001;2003;0,4132
DE0005011118;2000;0,4274
DE0005011118;2001;0,2801
DE0005011118;2002;0,7353
DE0005011118;2003;0,4902
DE0005013304;1999;0,1942
DE0005013304;2000;0,4132
DE0005016901;1997;0,1215
DE0005016901;1998;0,1374
DE0005016901;1999;0,0831
DE0005016901;2000;0,0712
DE0005016901;2001;0,1193
DE0005016901;2002;0,232
DE0005016901;2003;0,1992
DE0005021307;1999;0,3953
DE0005021307;2000;0,6135
DE0005021307;2001;0,6623
DE0005021307;2002;1,087
DE0005021307;2003;0,5435
DE0005027700;1989;0,4608
