"ISIN";"fyear";"BEME"
"DE0001218063";2007;0,3597
"DE0001218063";2008;0,6329
"DE0001218063";2009;0,8403
"DE0001218063";2010;0,9091
"DE0001218063";2011;1,8182
"DE0001218063";2012;2,2727
"DE0001218063";2013;1,3699
"DE0001262152";2006;0,2639
"DE0001262152";2007;0,0546
"DE0001262152";2008;0,8065
"DE0001262152";2009;0,9901
"DE0001262152";2010;0,096
"DE0001262152";2011;0,2294
"DE0001262152";2012;0,8475
"DE0001262152";2013;0,9804
"DE0001262186";2006;0,8929
"DE0001262186";2007;1,0204
"DE0001262186";2008;1,3699
"DE0001262186";2009;0,9524
"DE0001262186";2010;0,9091
"DE0001262186";2011;0,8929
"DE0001262186";2012;0,6757
"DE0002457512";2006;0,6329
"DE0002457512";2007;1,1765
"DE0002457512";2008;2,6316
"DE0002457512";2009;1,7544
"DE0002457512";2010;1,4493
"DE0002457512";2011;1,5152
"DE0002457512";2012;1,3158
"DE0002457512";2013;1,1765
"DE0002605557";2006;1,5152
"DE0002605557";2007;2,7027
"DE0002605557";2008;0,9901
"DE0002605557";2009;0,6667
"DE0002605557";2010;0,3496
"DE0002605557";2011;0,3496
"DE0002605557";2012;1,1111
"DE0002605557";2013;0,8
"DE0003304002";2006;0,2525
"DE0003304002";2007;0,2703
"DE0003304002";2008;0,4762
"DE0003304002";2009;0,2865
"DE0003304002";2010;0,2463
"DE0003304002";2011;0,3891
"DE0003304002";2012;0,3802
"DE0003304002";2013;0,4367
"DE0003304101";2006;0,369
"DE0003304101";2007;0,3509
"DE0003304101";2008;0,3378
"DE0003304101";2009;0,4167
"DE0003304101";2010;0,3704
"DE0003304101";2011;0,3333
"DE0003304101";2012;0,2358
"DE0003304101";2013;0,3226
"DE0003304200";2006;0,5348
"DE0003304200";2007;0,6536
"DE0003304200";2008;1,8182
"DE0003304200";2009;1,0101
"DE0003304200";2010;1,0526
"DE0003304200";2011;1,7857
"DE0003304200";2012;1,4493
"DE0003304200";2013;1,2195
"DE0005008007";2006;0,4785
"DE0005008007";2007;1,5625
"DE0005008007";2008;3,4483
"DE0005008007";2009;3,0303
"DE0005008007";2010;3,5714
"DE0005008007";2011;3,0303
"DE0005008007";2012;1,3889
"DE0005008007";2013;1,1364
"DE0005009708";2006;0,5435
"DE0005009708";2007;0,7299
"DE0005009708";2008;0,9804
"DE0005009708";2009;1,0638
"DE0005009708";2010;0,8065
"DE0005009708";2011;0,9009
"DE0005009708";2012;0,7092
"DE0005009708";2013;0,6944
"DE0005011001";2006;0,3571
"DE0005011001";2007;0,2959
"DE0005011001";2008;0,1855
"DE0005011001";2009;0,2278
"DE0005011001";2010;0,2571
"DE0005011001";2011;0,1923
"DE0005016901";2006;0,091
"DE0005021307";2006;-0,2882
"DE0005021307";2007;0,2762
"DE0005021307";2008;-0,7812
"DE0005021307";2009;0,5102
"DE0005021307";2010;6e-04
"DE0005021307";2011;-0,1422
"DE0005021307";2012;-1,282
"DE0005032007";2006;0,1934
"DE0005032007";2007;1,1494
"DE0005032007";2008;0,8
"DE0005032007";2009;0,5587
"DE0005032007";2010;0
"DE0005032007";2011;0
"DE0005032007";2012;0
"DE0005066609";2006;0,5464
"DE0005066609";2007;0,6849
"DE0005066609";2008;1,1111
"DE0005066609";2009;1,4084
"DE0005066609";2010;1,4706
"DE0005066609";2011;2,2222
"DE0005066609";2012;1,2658
"DE0005066609";2013;0,7463
"DE0005070908";2008;20
"DE0005070908";2009;25
"DE0005070908";2011;12,5
"DE0005072102";2006;0,4202
"DE0005072102";2007;0,4673
"DE0005072102";2008;0,4525
"DE0005072300";2006;0,3378
"DE0005072300";2007;0,3906
"DE0005072300";2008;0,8065
"DE0005072300";2009;0,565
"DE0005072300";2010;0,5181
"DE0005072300";2011;0,7463
"DE0005072300";2012;0,7463
"DE0005072300";2013;0,7576
"DE0005078000";2006;0,6369
"DE0005078000";2007;0,3731
"DE0005081608";2006;0,8264
"DE0005081608";2007;0,5714
"DE0005081608";2008;2,1277
"DE0005081608";2009;1,7857
"DE0005081608";2010;1,1628
"DE0005081608";2011;0,7194
"DE0005081608";2012;0,6173
"DE0005083208";2006;0,7143
"DE0005083208";2007;0,5291
"DE0005083208";2008;0,7692
"DE0005085005";2006;0,2457
"DE0005085005";2007;0,3333
"DE0005085005";2008;0,9709
"DE0005085005";2009;0,8
"DE0005085005";2010;0,5405
"DE0005085005";2011;0,3968
"DE0005085005";2012;0,3891
"DE0005085005";2013;0,4184
"DE0005085609";2006;0,5236
"DE0005085609";2007;0,5319
"DE0005085609";2008;0,6579
"DE0005085609";2009;0,4695
"DE0005085609";2010;0,4926
"DE0005085708";2006;-1,2195
"DE0005085708";2007;-2,3256
"DE0005085708";2008;-1,7241
"DE0005085708";2009;-0,3846
"DE0005085708";2010;0,3472
"DE0005085708";2011;0,5405
"DE0005085708";2012;0,304
"DE0005085906";2006;0,0903
"DE0005085906";2007;0,106
"DE0005085906";2008;0,0439
"DE0005086300";2006;0,3559
"DE0005086300";2007;0,2564
"DE0005086300";2008;1,4706
"DE0005086300";2009;1,1494
"DE0005086300";2010;0,8621
"DE0005086300";2011;0,8696
"DE0005086300";2012;0,9804
"DE0005086300";2013;0,6536
"DE0005088108";2006;0,8333
"DE0005088108";2007;0,7576
"DE0005088108";2008;1,5873
"DE0005088108";2009;1,1628
"DE0005088108";2010;1,2195
"DE0005088108";2011;1,2987
"DE0005088108";2012;1,2195
"DE0005088108";2013;0,9804
"DE0005088900";2008;0,5618
