"ISIN";"mdate";"RET";"RET11";"ME";"beta";"ivol"
"DE0001262012";200205;0,3088;-0,55;10,8;0,4582;0,087
"DE0001262012";200206;-0,3333;-0,7135;7,2;0,62;0,0558
"DE0001262012";200207;-0,375;-0,7895;4,5;0,6142;0,0405
"DE0001262012";200208;-0,0837;-0,8036;4,12;0,4678;0,0439
"DE0001262012";200209;-0,2183;-0,8657;3,22;0,9192;0,0517
"DE0001262012";200210;0,2339;-0,864;3,97;1,5634;0,0642
"DE0001262012";200211;-0,3593;-0,9029;2,55;1,3786;0,0484
"DE0001262012";200212;0,1766;-0,892;3;1,2236;0,0965
"DE0001262012";200301;-0,2251;-0,8761;2,32;1,097;0,0428
"DE0001262012";200302;0;-0,8489;2,32;1,0981;0,1241
"DE0001262012";200303;0;-0,7185;2,32;1,2001;0,0512
"DE0001262012";200304;0,2276;-0,7359;2,85;1,1065;0,0465
"DE0001262012";200305;0,1045;-0,5625;3,15;1,0234;0,0498
"DE0001262012";200306;0,0482;-0,2662;3,3;1,037;0,0556
"DE0001262012";200307;-0,3646;-0,4911;2,1;0,9895;0,0687
"DE0001262012";200308;0,1448;-0,2548;2,4;1,0516;0,0639
"DE0001262012";200309;0,4684;-0,1132;3,52;1,1092;0,0792
"DE0001262012";200310;-0,2456;0,0442;2,66;0,5647;0,0495
"DE0001262012";200311;-0,0951;-0,197;2,41;0,6205;0,0215
"DE0001262012";200312;0,215;0,2591;2,92;0,6821;0,0296
"DE0001262012";200401;0,4865;0,8717;4,35;0,6413;0,0367
"DE0001262012";200402;-0,0233;0,8281;4,24;0,7808;0,036
"DE0001262012";200403;0,1126;0,6568;4,72;0,727;0,0367
"DE0001262012";200404;0,1107;0,6661;5,25;0,7515;0,0377
"DE0001262012";200405;0;0,5894;5,25;0,9787;0,0228
"DE0001262012";200406;0,015;1,5389;5,32;0,8679;0,0143
"DE0001262012";200407;-0,0285;1,1546;5,17;1,2206;0,0121
"DE0001262012";200408;0,0435;0,5311;5,4;1,0823;0,0236
"DE0001262012";200409;-0,0281;0,9725;5,25;0,752;0,0106
"DE0001262012";200410;0;1,1799;5,25;0,618;0,0206
"DE0001262012";200411;-0,0139;0,7692;5,17;0,9704;0,0136
"DE0001262012";200412;0,0076;0,1992;5,21;1,0445;0,0166
"DE0001262152";199910;-0,0155;-0,5642;70,48;1,9266;0,0234
"DE0001262152";199911;-0,3465;-0,7681;46,06;1,2181;0,04
"DE0001262152";199912;0,0121;-0,7968;46,62;1,2652;0,0237
"DE0001262152";200001;0,5951;-0,7118;74,37;1,3956;0,0793
"DE0001262152";200002;1;-0,2885;185,37;1,9657;0,1027
"DE0001262152";200003;-0,3982;-0,2885;111,55;2,0264;0,0567
"DE0001262152";200004;0,2288;-0,1433;137,08;2,1059;0,0917
"DE0001262152";200005;-0,1498;0;116,55;2,1122;0,0605
"DE0001262152";200006;0;0,1385;116,55;2,1144;0,0453
"DE0001262152";200007;-0,0857;0,1942;106,56;2,1707;0,0429
"DE0001262152";200008;0,0417;0,244;111;2,2428;0,0346
"DE0001262152";200009;0,055;0,333;117,1;2,1384;0,023
"DE0001262152";200010;0,019;1,0784;119,32;2,1697;0,0239
"DE0001262152";200011;-0,2046;0,6333;94,9;2,4592;0,0324
"DE0001262152";200012;-0,6082;-0,5988;37,18;2,8743;0,0646
"DE0001262152";200101;-0,2612;-0,8518;27,87;2,7747;0,1079
"DE0001262152";200102;-0,3718;-0,8453;17,51;2,3306;0,0793
"DE0001262152";200103;0,1094;-0,8603;19,42;2,0059;0,0694
"DE0001262152";200104;0;-0,8357;19,42;1,8889;0,0657
"DE0001262152";200105;0,0462;-0,8281;20,32;1,9065;0,0367
"DE0001262152";200106;-0,202;-0,85;16,21;1,9761;0,0308
"DE0001262152";200107;-0,2953;-0,8985;11,43;2,0904;0,1065
"DE0001262152";200108;0,0838;-0,8957;12,95;2,2607;0,0813
"DE0001262152";200109;0,0365;-0,8939;13,42;1,7704;0,0614
"DE0001262152";200110;0,1534;-0,8462;15,49;1,9356;0,0643
"DE0001262152";200111;0,2166;-0,5225;18,84;2,1303;0,0559
"DE0001262152";200112;-0,2186;-0,495;14,72;2,0339;0,0465
"DE0001262152";200201;0,6441;0,3218;24,2;2,0333;0,0558
"DE0001262152";200202;-0,2337;-0,087;18,55;1,7866;0,0366
"DE0001262152";200203;0,1429;0,0435;21,2;2,0267;0,0329
"DE0001262152";200204;-0,2918;-0,2936;15,01;2,0784;0,0457
"DE0001262152";200205;0;-0,1148;15,01;2,0788;0,0435
"DE0001262152";200206;-0,4157;-0,266;8,77;2,192;0,0397
"DE0001262152";200207;-0,2752;-0,5091;6,36;1,8543;0,1171
"DE0001262152";200208;-0,6389;-0,829;2,3;1,317;0,1042
"DE0001262152";200209;-0,103;-0,867;2,06;1,146;0,1056
"DE0001262152";200210;0,1148;-0,8781;2,3;1,5218;0,0689
"DE0001262152";200211;-0,0244;-0,8478;2,24;1,2826;0,0552
