"dscode";"ISIN";"name"
"50063F";"DE0001218063";"Finlab N"
"280592";"DE0001262012";"Group Technologies"
"688646";"DE0001262152";"B + S Banksysteme"
"270550";"DE0001262186";"Advanced Inflight Alliance"
"32396J";"DE0002457512";"VIB Vermoegen"
"32744F";"DE0002605557";"Bavaria Industriekapital"
"697269";"DE0003304002";"Software"
"881098";"DE0003304101";"Gerry Weber International"
"698998";"DE0003304200";"BMP Holding"
"936931";"DE0005008007";"Adler Real Estate"
"951184";"DE0005009005";"Sai Automotive"
"755075";"DE0005009708";"Ahlers"
"944766";"DE0005009906";"Agab"
"269491";"DE0005010896";"Camelot"
"945528";"DE0005011001";"Etienne Aigner"
"264348";"DE0005011118";"SAP Systems Integration"
"698973";"DE0005013304";"Ahag Wertpapierhandelsbank"
"898696";"DE0005016901";"DIS Deutsche Industrie Services"
"695102";"DE0005021307";"Neschen"
"951347";"DE0005027700";"Kuehnle Kopp and Kausch"
"951186";"DE0005032007";"Alexanderwerk"
"951187";"DE0005034904";"Allweiler"
"905071";"DE0005038004";"AEG"
"929121";"DE0005045009";"E On Bayern"
"729376";"DE0005051601";"ATB Antriebstechnik"
"729951";"DE0005052302";"Aqua Signal"
"697998";"DE0005066609";"AAP Implantate"
"698501";"DE0005067300";"SZ Testsysteme"
"688282";"DE0005070908";"Fritz Nols Global Equity Services"
"896382";"DE0005072102";"Beru"
"278266";"DE0005072300";"DAB Bank"
"681179";"DE0005073605";"Elsa"
"930606";"DE0005078000";"Autania"
"676774";"DE0005081608";"W E T Automotive Systems"
"679732";"DE0005082903";"Lobster Network Storage"
"686275";"DE0005083208";"COR Financial Technologies"
"270522";"DE0005084701";"Private Value"
"697714";"DE0005085005";"Elexis"
"681668";"DE0005085609";"TDS Informationstechnologie"
"686088";"DE0005085708";"Cinemaxx"
"266761";"DE0005085906";"AWD Holding"
"296750";"DE0005086300";"Allgeier"
"142946";"DE0005088108";"Baader Bank"
"729956";"DE0005088504";"AVA"
"51804X";"DE0005088900";"AVW Immobilien"
"676648";"DE0005089031";"United Internet"
"695383";"DE0005093108";"Amadeus Fire"
"690792";"DE0005098008";"Tdmi"
"695996";"DE0005102008";"Basler"
"697126";"DE0005103006";"Adva Optical Networking"
"288752";"DE0005104400";"Atoss Software"
"265624";"DE0005104806";"Syzygy"
"690168";"DE0005110001";"All for One Steeb"
"53415D";"DE0005111702";"Zooplus"
"32798R";"DE0005117006";"Primion Technology"
"697528";"DE0005118806";"Telegate"
"507664";"DE0005121107";"Volkmann Vermoegens Verwaltungs"
"31938T";"DE0005121701";"Interhyp"
"273298";"DE0005122006";"Procon Multimedia"
"275549";"DE0005122501";"Abit"
"275350";"DE0005125603";"Wavelight"
"275562";"DE0005128003";"Epcos"
"285575";"DE0005130108";"MSG Life"
"290665";"DE0005137004";"QSC"
"275903";"DE0005138200";"Elephant Seven"
"264403";"DE0005138408";"Pgam Advanced Technologies"
"905076";"DE0005140008";"Deutsche Bank"
"282398";"DE0005141006";"Design Hotels"
"275580";"DE0005141709";"Jobpilot NM"
"275822";"DE0005141808";"Wedeco Water Technology"
"276452";"DE0005141907";"Sinnerschrader"
"413018";"DE0005146807";"Delticom"
"278180";"DE0005147805";"American Depository Share System"
"688731";"DE0005155030";"NTT Com Security"
"951657";"DE0005156004";"Gigaset"
"504663";"DE0005156236";"Schweizer Electronic"
"13410M";"DE0005157101";"DR Hoenle"
"290298";"DE0005158703";"Bechtle"
"307093";"DE0005165906";"Barmag"
"278415";"DE0005167902";"3U Holding"
"36197U";"DE0005168108";"Bauer"
"413324";"DE0005173306";"Asknet"
"505050";"DE0005175905";"Bausch"
"275512";"DE0005176903";"Surteco"
"291778";"DE0005178008";"Softing"
"951229";"DE0005179006";"Bau-Verein Zu Hamburg"
"86624J";"DE0005181606";"Weng Fine Art"
"291601";"DE0005183701";"Eichborn"
"278417";"DE0005188908";"Brainpool Television"
"923537";"DE0005190003";"BMW"
"295360";"DE0005192801";"Amatech"
"775017";"DE0005194062";"Baywa"
"775018";"DE0005198907";"JOH Freidrich Behrens"
"679386";"DE0005199905";"Ludwig Beck"
"929048";"DE0005200000";"Beiersdorf"
"41273U";"DE0005202303";"Quirin Bank"
"276466";"DE0005204606";"Buchbach de Internetstores"
"698798";"DE0005204705";"VWD Vereinigte Wirtschaftsdienste"
"36136K";"DE0005209589";"Artec Technologies"
"280766";"DE0005212807";"E-M-S New Media"
"951493";"DE0005213003";"Dahlbusch"
"270903";"DE0005213409";"Biolitec"
"296410";"DE0005213508";"Analytik Jena"
"755413";"DE0005214506";"Adcapital"
"278419";"DE0005215107";"Balda"
"412538";"DE0005216907";"Tradegate"
"51168F";"DE0005218309";"Mobotix"
"933063";"DE0005220008";"Enbw Energie Baden-Wuerttemberg"
"295685";"DE0005220909";"Nexus"
"929073";"DE0005221006";"Berliner Kindl Brauerei"
"897996";"DE0005221303";"Berliner Effektengesellschaft"
"888907";"DE0005223903";"BHW Holding"
"951224";"DE0005224406";"Beta Systems Software"
"875938";"DE0005227201";"Biotest"
"14530M";"DE0005227342";"KWG Kommunale Wohnen"
"142401";"DE0005228100";"Bien-Zenker"
"265104";"DE0005228779";"Orbis"
"772756";"DE0005229504";"Bijou Brigitte Modische Accessoires"
"882292";"DE0005232805";"Bertrandt"
"697098";"DE0005236202";"S&O Agrar"
"307524";"DE0005239701";"Boewe Systec"
"690326";"DE0005240709";"Curanum"
"951659";"DE0005247308";"Moninger Holding"
"67663T";"DE0005249601";"Flatex"
"775025";"DE0005250005";"Heidelberger Beteiligungs Holding"
"275508";"DE0005251904";"Cash Medien"
"287941";"DE0005252803";"IPC Archtec"
"263860";"DE0005256507";"Linos"
"951190";"DE0005259006";"Holcim (Deutschland)"
"775030";"DE0005261606";"Bremer Lagerhaus Gesellschaft"
"32085X";"DE0005266209";"Informica Real Invest"
"287259";"DE0005270300";"Trius"
"929020";"DE0005271001";"Bremer Vulkan Verbund"
"275514";"DE0005273007";"Gedys Internet Products"
"866649";"DE0005275507";"Bruder Mannesmann"
"929128";"DE0005278006";"Buderus"
"775032";"DE0005280002";"BBI Buergerliches Brauhaus Immobilien"
"775034";"DE0005284004";"Babcock BSH"
